fecha,categoria,cantidad_vendida
10/03/2016,audio,1
10/03/2016,auto,7
10/10/2016,audio,1
10/10/2016,auto,1
01/02/2017,auto,2
1/16/2017,auto,11
1/23/2017,auto,12
1/30/2017,audio,1
1/30/2017,auto,16
02/06/2017,auto,33
2/13/2017,audio,2
2/13/2017,auto,21
2/20/2017,audio,1
2/20/2017,auto,18
2/27/2017,art,1
2/27/2017,audio,1
2/27/2017,auto,10
03/06/2017,audio,8
03/06/2017,auto,20
3/13/2017,art,1
3/13/2017,audio,2
3/13/2017,auto,13
3/20/2017,art,2
3/20/2017,audio,1
3/20/2017,auto,19
3/27/2017,audio,3
3/27/2017,auto,24
04/03/2017,audio,2
04/03/2017,auto,18
04/10/2017,audio,2
04/10/2017,auto,25
4/17/2017,audio,2
4/17/2017,auto,16
4/24/2017,art,1
4/24/2017,audio,5
4/24/2017,auto,18
05/01/2017,art,1
05/01/2017,audio,3
05/01/2017,auto,21
05/08/2017,audio,3
05/08/2017,auto,21
5/15/2017,art,2
5/15/2017,audio,6
5/15/2017,auto,28
5/22/2017,art,2
5/22/2017,audio,3
5/22/2017,auto,27
5/29/2017,art,1
5/29/2017,audio,2
5/29/2017,auto,23
06/05/2017,art,3
06/05/2017,audio,2
06/05/2017,auto,32
06/12/2017,art,1
06/12/2017,audio,5
06/12/2017,auto,27
6/19/2017,audio,1
6/19/2017,auto,23
6/26/2017,audio,3
6/26/2017,auto,25
07/03/2017,art,2
07/03/2017,audio,1
07/03/2017,auto,19
07/10/2017,art,1
07/10/2017,audio,4
07/10/2017,auto,34
7/17/2017,auto,27
7/24/2017,audio,1
7/24/2017,auto,28
7/31/2017,audio,2
7/31/2017,auto,42
08/07/2017,art,2
08/07/2017,audio,2
08/07/2017,auto,22
8/14/2017,audio,2
8/14/2017,auto,38
8/21/2017,art,1
8/21/2017,audio,1
8/21/2017,auto,44
8/28/2017,art,1
8/28/2017,auto,23
09/04/2017,art,1
09/04/2017,audio,3
09/04/2017,auto,18
09/11/2017,audio,2
09/11/2017,auto,22
9/18/2017,art,1
9/18/2017,audio,2
9/18/2017,auto,28
9/25/2017,art,1
9/25/2017,audio,3
9/25/2017,auto,37
10/02/2017,art,2
10/02/2017,audio,5
10/02/2017,auto,33
10/09/2017,art,1
10/09/2017,audio,8
10/09/2017,auto,41
10/16/2017,audio,9
10/16/2017,auto,38
10/23/2017,audio,7
10/23/2017,auto,27
10/30/2017,audio,4
10/30/2017,auto,22
11/06/2017,audio,7
11/06/2017,auto,46
11/13/2017,audio,6
11/13/2017,auto,41
11/20/2017,audio,14
11/20/2017,auto,103
11/27/2017,art,1
11/27/2017,audio,7
11/27/2017,auto,80
12/04/2017,art,1
12/04/2017,audio,1
12/04/2017,auto,85
12/11/2017,art,1
12/11/2017,audio,8
12/11/2017,auto,85
12/18/2017,art,1
12/18/2017,audio,4
12/18/2017,auto,46
12/25/2017,audio,4
12/25/2017,auto,20
01/01/2018,art,3
01/01/2018,audio,2
01/01/2018,auto,54
01/08/2018,art,2
01/08/2018,audio,6
01/08/2018,auto,49
1/15/2018,art,9
1/15/2018,audio,6
1/15/2018,auto,81
1/22/2018,art,2
1/22/2018,audio,8
1/22/2018,auto,53
1/29/2018,art,3
1/29/2018,audio,8
1/29/2018,auto,73
02/05/2018,art,7
02/05/2018,audio,2
02/05/2018,auto,52
02/12/2018,art,1
02/12/2018,audio,1
02/12/2018,auto,95
2/19/2018,art,3
2/19/2018,audio,4
2/19/2018,auto,87
2/26/2018,art,1
2/26/2018,audio,7
2/26/2018,auto,75
03/05/2018,art,1
03/05/2018,audio,5
03/05/2018,auto,65
03/12/2018,art,1
03/12/2018,audio,7
03/12/2018,auto,80
3/19/2018,art,4
3/19/2018,audio,10
3/19/2018,auto,93
3/26/2018,art,1
3/26/2018,audio,10
3/26/2018,auto,72
04/02/2018,art,5
04/02/2018,audio,6
04/02/2018,auto,87
04/09/2018,art,4
04/09/2018,audio,10
04/09/2018,auto,87
4/16/2018,art,6
4/16/2018,audio,7
4/16/2018,auto,80
4/23/2018,art,9
4/23/2018,audio,7
4/23/2018,auto,73
4/30/2018,art,9
4/30/2018,audio,3
4/30/2018,auto,78
05/07/2018,art,11
05/07/2018,audio,5
05/07/2018,auto,90
5/14/2018,art,12
5/14/2018,audio,9
5/14/2018,auto,96
5/21/2018,art,3
5/21/2018,audio,1
5/21/2018,auto,37
5/28/2018,art,4
5/28/2018,audio,5
5/28/2018,auto,41
06/04/2018,art,2
06/04/2018,audio,1
06/04/2018,auto,79
06/11/2018,art,10
06/11/2018,audio,3
06/11/2018,auto,55
6/18/2018,art,6
6/18/2018,audio,8
6/18/2018,auto,73
6/25/2018,art,8
6/25/2018,audio,6
6/25/2018,auto,69
07/02/2018,art,5
07/02/2018,audio,1
07/02/2018,auto,59
07/09/2018,art,8
07/09/2018,audio,2
07/09/2018,auto,55
7/16/2018,art,3
7/16/2018,audio,14
7/16/2018,auto,93
7/23/2018,art,3
7/23/2018,audio,4
7/23/2018,auto,97
7/30/2018,art,9
7/30/2018,audio,4
7/30/2018,auto,99
08/06/2018,art,6
08/06/2018,audio,6
08/06/2018,auto,135
8/13/2018,art,2
8/13/2018,audio,6
8/13/2018,auto,103
8/20/2018,art,1
8/20/2018,audio,10
8/20/2018,auto,59
8/27/2018,art,1
8/27/2018,audio,1
8/27/2018,auto,6
