id_ventas,id_dataset,fecha_venta,categoria,unidades_vendidas
1,1,2024-01-01,Electrónica,12
2,2,2024-01-02,Ropa,19
3,3,2024-01-03,Hogar,26
4,1,2024-01-04,Alimentos,33
5,2,2024-01-05,Deportes,40
6,3,2024-01-06,Electrónica,47
7,1,2024-01-07,Ropa,54
8,2,2024-01-08,Hogar,61
9,3,2024-01-09,Alimentos,68
10,1,2024-01-10,Deportes,75
11,2,2024-01-11,Electrónica,82
12,3,2024-01-12,Ropa,89
13,1,2024-01-13,Hogar,96
14,2,2024-01-14,Alimentos,103
15,3,2024-01-15,Deportes,110
16,1,2024-01-16,Electrónica,117
17,2,2024-01-17,Ropa,124
18,3,2024-01-18,Hogar,131
19,1,2024-01-19,Alimentos,138
20,2,2024-01-20,Deportes,145
21,3,2024-01-21,Electrónica,152
22,1,2024-01-22,Ropa,9
23,2,2024-01-23,Hogar,16
24,3,2024-01-24,Alimentos,23
25,1,2024-01-25,Deportes,30
26,2,2024-01-26,Electrónica,37
27,3,2024-01-27,Ropa,44
28,1,2024-01-28,Hogar,51
29,2,2024-01-29,Alimentos,58
30,3,2024-01-30,Deportes,65
31,1,2024-01-31,Electrónica,72
32,2,2024-02-01,Ropa,79
33,3,2024-02-02,Hogar,86
34,1,2024-02-03,Alimentos,93
35,2,2024-02-04,Deportes,100
36,3,2024-02-05,Electrónica,107
37,1,2024-02-06,Ropa,114
38,2,2024-02-07,Hogar,121
39,3,2024-02-08,Alimentos,128
40,1,2024-02-09,Deportes,135
41,2,2024-02-10,Electrónica,142
42,3,2024-02-11,Ropa,149
43,1,2024-02-12,Hogar,6
44,2,2024-02-13,Alimentos,13
45,3,2024-02-14,Deportes,20
46,1,2024-02-15,Electrónica,27
47,2,2024-02-16,Ropa,34
48,3,2024-02-17,Hogar,41
49,1,2024-02-18,Alimentos,48
50,2,2024-02-19,Deportes,55
51,3,2024-02-20,Electrónica,62
52,1,2024-02-21,Ropa,69
53,2,2024-02-22,Hogar,76
54,3,2024-02-23,Alimentos,83
55,1,2024-02-24,Deportes,90
56,2,2024-02-25,Electrónica,97
57,3,2024-02-26,Ropa,104
58,1,2024-02-27,Hogar,111
59,2,2024-02-28,Alimentos,118
60,3,2024-02-29,Deportes,125
61,1,2024-03-01,Electrónica,132
62,2,2024-03-02,Ropa,139
63,3,2024-03-03,Hogar,146
64,1,2024-03-04,Alimentos,153
65,2,2024-03-05,Deportes,10
66,3,2024-03-06,Electrónica,17
67,1,2024-03-07,Ropa,24
68,2,2024-03-08,Hogar,31
69,3,2024-03-09,Alimentos,38
70,1,2024-03-10,Deportes,45
71,2,2024-03-11,Electrónica,52
72,3,2024-03-12,Ropa,59
73,1,2024-03-13,Hogar,66
74,2,2024-03-14,Alimentos,73
75,3,2024-03-15,Deportes,80
76,1,2024-03-16,Electrónica,87
77,2,2024-03-17,Ropa,94
78,3,2024-03-18,Hogar,101
79,1,2024-03-19,Alimentos,108
80,2,2024-03-20,Deportes,115
81,3,2024-03-21,Electrónica,122
82,1,2024-03-22,Ropa,129
83,2,2024-03-23,Hogar,136
84,3,2024-03-24,Alimentos,143
85,1,2024-03-25,Deportes,150
86,2,2024-03-26,Electrónica,7
87,3,2024-03-27,Ropa,14
88,1,2024-03-28,Hogar,21
89,2,2024-03-29,Alimentos,28
90,3,2024-03-30,Deportes,35
91,1,2024-03-31,Electrónica,42
92,2,2024-04-01,Ropa,49
93,3,2024-04-02,Hogar,56
94,1,2024-04-03,Alimentos,63
95,2,2024-04-04,Deportes,70
96,3,2024-04-05,Electrónica,77
97,1,2024-04-06,Ropa,84
98,2,2024-04-07,Hogar,91
99,3,2024-04-08,Alimentos,98
100,1,2024-04-09,Deportes,105
